Issue key,Issue id,Project Manager,Assignee,Status,Priority,Team Leader,Worker,Product Impact,Epic Link,Marketing Need,Business Impact,Customer Interest
SLE-22708,502603,gameboy974,#N/A,Planning,Should Have,#N/A,none,#N/A,SLE-22704,Medium,Medium,Medium
SLE-22695,502499,aginies,#N/A,Open,Must Have,#N/A,charlesa,#N/A,SLE-22653,Medium,#N/A,#N/A
SLE-22688,502466,ihno,#N/A,Planning,Must Have,jeff_mahoney,none,#N/A,SLE-22496,Low,Medium,High
SLE-22680,502432,rtsvetkov,#N/A,Rejected,Should Have,#N/A,none,#N/A,SLE-22664,Medium,#N/A,#N/A
SLE-22666,501476,horon,#N/A,Planning,Must Have,ptesarik,none,#N/A,SLE-18271,#N/A,#N/A,#N/A
SLE-22658,501454,LPechacek,#N/A,Done,Could Have,#N/A,none,#N/A,SLE-22478,Low,Medium,High
SLE-22868,503266,fcrozat,yfjiang,Planning,Should Have,yfjiang,none,#N/A,SLE-22865,Medium,Medium,Medium
SLE-22840,502956,Jeffreycheung,#N/A,Done,Could Have,sfent,trenn,#N/A,SLE-22720,Medium,Medium,Medium
SLE-22838,502954,Jeffreycheung,#N/A,Done,Could Have,sfent,trenn,#N/A,SLE-22721,Medium,Medium,Medium
SLE-22836,502952,Jeffreycheung,#N/A,Planning,Could Have,ptesarik,patrikjakobsson,#N/A,SLE-22724,Medium,Medium,Medium
SLE-22834,502950,Jeffreycheung,#N/A,Planning,Could Have,ptesarik,patrikjakobsson,#N/A,SLE-22725,Medium,Medium,Medium
SLE-22741,502717,aginies,#N/A,In Progress,Should Have,#N/A,none,#N/A,SLE-22730,Medium,Medium,Medium
SLE-22306,498672,a_faerber,ptesarik,Planning,Could Have,ptesarik,#N/A,#N/A,SLE-17963,#N/A,#N/A,#N/A
SLE-22358,499157,aherzig,#N/A,Planning,Must Have,#N/A,none,#N/A,SLE-20930,Low,Medium,High
SLE-22354,499150,Jeffreycheung,Jeffreycheung,Done,Could Have,anicka,Jeffreycheung,#N/A,SLE-21060,Low,Medium,High
SLE-22352,499138,Jeffreycheung,fstrba,Done,Wish to Have,bruclik,fstrba,#N/A,SLE-18751,#N/A,#N/A,#N/A
SLE-22349,499125,LPechacek,#N/A,Rejected,Could Have,mhocko,none,#N/A,SLE-22171,Low,Medium,High
SLE-22636,501211,Jeffreycheung,#N/A,In Progress,Could Have,ptesarik,patrikjakobsson,#N/A,SLE-22601,Medium,#N/A,#N/A
SLE-22633,501207,a_faerber,ptesarik,Planning,Should Have,ptesarik,none,#N/A,SLE-21668,Low,Medium,High
SLE-22316,499019,Jeffreycheung,#N/A,Done,Should Have,#N/A,jirislaby,#N/A,SLE-22309,Low,Medium,High
SLE-22314,499017,Jeffreycheung,#N/A,Done,Should Have,#N/A,jirislaby,#N/A,SLE-22308,Low,Medium,High
SLE-22293,498123,Jeffreycheung,#N/A,Planning,Could Have,hreinecke,#N/A,#N/A,SLE-17621,#N/A,#N/A,#N/A
SLE-22287,498093,ihno,#N/A,In Progress,Must Have,matz2,tomdevries,#N/A,SLE-22253,Low,Medium,High
SLE-22246,497969,suntorytimed,PSuarezHernandez,Done,Could Have,#N/A,none,#N/A,SLE-22204,Low,Medium,High
SLE-21845,494785,a_faerber,ptesarik,Planning,Should Have,ptesarik,none,#N/A,SLE-21844,Low,Medium,High
SLE-21827,494752,fcrozat,henrix,Done,Must Have,goldwynr,henrix,#N/A,SLE-21826,Low,Medium,High
SLE-21821,494743,suntorytimed,#N/A,Done,Could Have,BenniBrunner,BenniBrunner,#N/A,SLE-21679,Low,Medium,High
